,Unnamed: 0,source_id,l,b,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,KinematicNetworkOut_0,b_old,dec_old,feH,g_mag,l_old,parallax_old,parallax_err,plx_over_error,pmdec_old,pmdec_err,pmra_old,pmra_err,r,r_err,r_helio,ra_old,source_id_string,vU,vU_err,vV,vV_err,vW,vW_err,vabs,vabs_err,vabs_err_nocov,vphi,vphi_err,vr,vr_err,vtheta,vtheta_err,x,x_err,y,y_err,z,z_err,Score_Old,KinematicWeights
68,68,708992933274423936,191.4499288525732,33.13595372197016,126.84339164835907,31.47806028106193,2.5030771099114024,-8.78351118025768,-21.90082724855361,10.87939,11.359283,10.265009,83.79616087492293,0.059301674,33.13595372197016,0.5493957940457823,0.0,10.87939,191.4499288525732,2.5030771099114024,0.0918586355591934,27.24923,-21.90082724855361,0.1132504045403737,-8.78351118025768,0.1385303165339546,8.331414996114077,0.012271481984255,0.4079011184930897,2.2138348186605428,r708992933274423936,-74.95071363627972,3.156927802727071,-52.76251696465274,1.6187463750368778,24.83879990366785,2.27527564771586,199.551520153936,1.6161870746963845,1.8543264276800409,-186.82071346239115,1.6188906467628696,63.237371836661815,3.156258590970416,-30.32927662081072,2.276101278977755,-8.327880782187913,0.0120326621815213,-0.0664097543496803,0.0024371240495258,0.2333822179750872,0.0080142527348236,0.05136983,0.0
69,69,2946805069273351680,226.74857784126155,-10.565735014929947,99.49370559535387,-17.010703691768665,1.6766399931062104,3.8133651038990655,-9.821649071760524,11.326983,11.668111,10.839531,11.295050457135837,0.053900395,-10.565735014929947,-0.2968927875025178,0.0,11.326983,226.74857784126155,1.6766399931062104,0.0308365517326559,54.371838,-9.821649071760524,0.0603869535859057,3.8133651038990655,0.0525680609935522,8.413121411660182,0.0078001109928796,0.5938636036780458,1.73649274764883,r2946805069273351680,14.425392723654994,1.253140327561188,-28.07590837081719,1.3269737320568455,-4.293941367927296,0.3338592767206645,212.5629568871059,1.4451123305181883,1.325817965727903,-209.43630852519783,1.3267887530824498,-36.23453897014769,1.253262930691173,-2.5498034333346946,0.3341341258099372,-8.401746119222597,0.0073888640613003,-0.4270474623795055,0.0078542031802356,-0.0943636600513352,0.0020114026712423,0.04389291,0.0
70,70,5653435837928696576,248.0377742238068,10.27842696634249,130.23547294318703,-24.976510195661845,0.3909678170347467,-4.434546921027576,1.3392932554811967,12.886575,13.404153,12.230675,70.38708581545929,0.036091197,10.27842696634249,-0.4359223385722323,0.0,12.886575,248.0377742238068,0.3909678170347468,0.0312660326874904,12.504555,1.3392932554811967,0.0454493795629901,-4.434546921027576,0.0447158696470977,9.25288195136737,0.1216808138952542,2.5604742991722844,2.2730378057506035,r5653435837928696576,-69.82471740100935,3.542738614958223,-53.36837420615862,1.969516251280785,-19.61676813660373,2.500148335707646,195.1674597440996,2.5259003676412224,2.161863991633663,-194.5228204642031,2.105290038995816,9.270366032133111,3.461622377949116,12.855737055742017,2.503129485804489,-8.941237235576137,0.0752715514985501,-2.3340731608423693,0.1866578387330686,0.4713847504131887,0.0364974811295599,0.035864335,0.0
71,71,3787457884242916224,265.0787522633278,53.20352826566831,171.25929004742974,-3.1973379527516075,1.5484582597475358,7.440843599730545,-28.30387493972867,12.8821745,13.2511635,12.364514,-3.655373000223534,0.58240354,53.20352826566832,-0.0558040745744904,0.0,12.882174,265.07875226332783,1.5484582597475358,0.0403645837332124,38.361805,-28.30387493972867,0.045288318587053,7.440843599730545,0.0687948950632927,8.060008907343509,0.0022325301480096,0.6578765306927555,2.989038485955605,r3787457884242916224,62.17392863944139,1.6352568363882032,-51.11515274342715,2.4564121473069163,-39.50335519280094,2.867541472413773,204.3040169542383,2.38917478089908,2.378303206975412,-184.2376133331948,2.4548411731426056,-84.14713998500945,1.6449721054330977,26.75615834287721,2.863326953282688,-8.033183878551272,0.0008650239268276,-0.385393792041582,0.0100462895213326,0.5321390653733669,0.0134805720300021,0.11326796,0.0
72,72,552684642284557696,134.7732682953735,23.207121750293982,85.35952225469087,78.59451250791896,1.686261643624864,6.581033524643715,-1.2771627674191153,12.863009,13.194783,12.376741,-72.83840771047382,0.04180827,23.207121750293982,1.3717330172630515,0.0,12.863009,134.7732682953735,1.686261643624864,0.0262957545412482,64.12676,-1.2771627674191153,0.042462619606938,6.581033524643715,0.0392708552802699,8.39648339297527,0.0063631965675473,0.5990972674963236,1.4898047112737294,r552684642284557696,44.32450643889258,2.2041266968312097,-58.999109088943214,2.2178706528839016,-14.662097052385962,1.3911621246408667,188.56283400508372,1.4248529047464198,2.2156464852674302,-182.44460599551783,2.2178415316679287,-47.26234014818162,2.2035742735435635,6.014924345874594,1.3920833836479851,-8.383875989536746,0.005986205541293,0.3869262354035458,0.0060337714198783,0.2486862459710744,0.0036441297155473,0.0392567179999999,0.0
73,73,552460582429843840,135.1650220026842,24.049166034351757,89.97561345245126,78.5510998149099,6.140910180811547,-7.328719364139238,-77.38355855936238,13.676368,14.498059,12.797731,32.51417803355893,0.055744756,24.049166034351757,1.3709753228328865,-1.5,13.676368,135.16502200268422,6.140910180811548,0.0170355776534955,360.47562,-77.38355855936237,0.0332401594166112,-7.328719364139237,0.0282220501638612,8.106540531478254,0.0002981120350265,0.1695094833173574,1.5703707012469772,r552460582429843840,-66.78013862589849,3.5642974288335747,-11.568594349351027,3.526210873109834,-7.965828218709168,2.2772285387072606,234.2268770841044,4.264255838212256,3.528364519776789,-226.77218120975311,3.5262172794018287,58.6080801575576,3.564184848973324,1.3041158646133568,2.2773948188944817,-8.105454120222825,0.0002925416267364,0.1048484099774737,0.0002908613181801,0.0813615657896463,0.0001840944703522,0.0546827,0.0
74,74,418657851356587776,120.1846415928605,-6.619475778889038,7.956462196109091,56.147623388358014,1.5622681801111336,2.8608949321749733,-0.7788910966358868,12.997201,13.327802,12.50512,5.511806419018444,0.049210843,-6.619475778889037,0.9799608952966222,0.0,12.997201,120.1846415928605,1.5622681801111336,0.0259377838172847,60.23137,-0.7788910966358868,0.0304187308340948,2.8608949321749733,0.0299368241713538,8.338028632724049,0.0059061028686722,0.6385397111478675,0.1388664621325624,r418657851356587776,-9.940932503580322,3.7526909108422033,0.1069098706125155,6.343926497165848,-3.532031056412912,0.8274615760314951,239.21861253669047,6.3121359668934405,6.343124860124298,-238.7430865126701,6.33496016577042,14.583691603424413,3.767718211670957,-3.8208854470151152,0.8278673257921026,-8.31968678233833,0.0053076461231803,0.5496157141202426,0.0091250745274856,-0.0587868242301192,0.0012250564402512,0.034759976,0.0
75,75,886139340435252864,188.4008205406961,17.42711182225721,108.51243296948071,29.282373475990216,0.95822114023236,-1.2561005710416484,-7.974694276338216,9.230934,10.123353,8.339802,62.90126100437072,0.046247914,17.42711182225721,0.511073829954686,0.0,9.230934,188.4008205406961,0.95822114023236,0.0429055225000729,22.333282,-7.974694276338216,0.0667528509535481,-1.2561005710416484,0.0805520517102612,8.992159430913299,0.0446853198134634,1.0481905262581537,1.8938992346670864,r886139340435252864,-60.15144548404165,0.2955614368932248,-43.96744191201815,1.5906613806788494,0.0225051317200151,0.8388634698965615,201.3152849601861,1.568866997643416,1.5436300823186464,-195.8810374309248,1.5904601456655731,46.12098881545915,0.298016212260146,-5.596206239036428,0.8383763918240965,-8.985014240726603,0.0441052163158696,-0.1454686623615346,0.0065135371199333,0.3275502910606023,0.0139948212186731,0.045294978,0.0
76,76,2013206241442551552,108.13297141163208,-1.2729121952155051,343.8504755899428,58.225114622602014,0.8641486450693862,4.084292386237633,-0.4338934899405587,10.969932,11.985482,9.996999,-22.846162952605,0.047925923,-1.2729121952155051,1.0162199575155009,0.0,10.969932,108.13297141163208,0.8641486450693862,0.0357248867726629,24.188982,-0.4338934899405588,0.0508039761369042,4.0842923862376335,0.0650788460354218,8.43205592131401,0.0206862994347625,1.1569722903591335,6.001322933592893,r2013206241442551552,-10.986267897507783,0.810535803327646,-28.004934206622767,0.3441453377969613,-11.159421159191046,0.4850668911435245,211.111297443954,0.338788154331745,0.3442037800510939,-209.2878641843673,0.3572003462642221,27.414543314773827,0.8048674111216667,3.8746133301078536,0.4850675767664197,-8.360061386219236,0.0148853467829685,1.0994662517161888,0.0454531839829144,-0.0107070140513492,0.0010627571674014,0.03365579,0.0
77,77,2013209913629967360,108.30452939423,-1.1843101695214064,344.07261496756985,58.378884367796495,0.6145092857697751,-0.3948163388442389,-5.826288165873108,12.366018,13.171238,11.490366,-22.76792850403107,0.045834307,-1.1843101695214064,1.018903745859097,0.0,12.366018,108.30452939423,0.6145092857697751,0.0438238849481498,14.022245000000002,-5.826288165873108,0.0598630326507435,-0.3948163388442389,0.0605620056619254,8.650029430153028,0.0555306374822932,1.6270737945940883,6.005199997130816,r2013209913629967360,27.99013001284953,1.6140443450612136,-15.342644881453284,1.206067624528815,-39.09596183444986,2.5988903842618103,229.34822350527463,1.4879900687946508,1.2610319508186447,-227.1215941659553,1.2211827095860852,1.5598431358064688,1.6026448383921097,31.84267542045096,2.598886646999495,-8.510977500591169,0.0364404895345878,1.5446436115680768,0.1101566493571503,-0.018634381833961,0.0023986444369953,0.04259874,0.0
